ogc_fid,sector,cod_col,name,NEIGHBORHOOD,alias,AliasType,GISID,uid
1783,16,1622,RESIDENCIAL VILLAS CENTROAMERICANAS,VILLAS CENTROAMERICANAS,VILLAS CENTROAMERICANAS,Default,1255,16-VILCEN-002
5437,20,2027,RESIDENCIAL PLAZA,PLAZA,RESIDENCIAL PLAZA,Agency variations,1318,20-PLAXXX-001
5437,20,2027,RESIDENCIAL PLAZA,PLAZA,RESID. PLAZA,Agency variations,1318,20-PLAXXX-001
6,10,1008,COLONIA LOMAS DEL MAYAB,LOMAS DEL MAYAB,TORRE MAYAB,Building,805,10-LOMMAY-001
6,10,1008,COLONIA LOMAS DEL MAYAB,LOMAS DEL MAYAB,TORRE METROPOLIS,Building,805,10-LOMMAY-001
6,10,1008,COLONIA LOMAS DEL MAYAB,LOMAS DEL MAYAB,METROPOLIS,Building,805,10-LOMMAY-001
461,10,1006,COLONIA LOMAS DEL GUIJARRO,LOMAS DEL GUIJARRO,TORRE SKYPE,Building,623,10-LOMGUI-001
1033,10,1007,RESIDENCIAL LA CUMBRE,LA CUMBRE,CUMBRE,Agency variations,613,10-CUMXXX-001
6435,9,0,EL HATILLO,EL HATILLO,HATILLO,Agency variations,307,09-HATXXX-001
7331,23,2307,RESIDENCIAL LA CASCADA,LA CASCADA,CASCADAS,Agency variations,1324,23-CASXXX-002
7331,23,2307,RESIDENCIAL LA CASCADA,LA CASCADA,LAS CASCADAS,Agency variations,1324,23-CASXXX-002
1267,7,707,COLONIA EL PEDREGALITO,EL PEDREGALITO,PEDREGALITO,Agency variations,914,07-PEDXXX-001
