Neighborhood,Zone,objectid,Neighborhood,Corr,Dist,SectorGis,,
COL PROVIDENCIA,R3,941,COLONIA NUEVA PROVIDENCIA,2531,DU11,SECTOR 25,,
COL RUBEN ANTUNEZ,R2,88,COLONIA RUBEN ANTUNEZ,1707,DU02,SECTOR 17,,
COL SAN CRISTOBAL,R4,806,COLONIA SAN CRISTOBAL,735,DU05,SECTOR 07,,
COL SAN JOSE DEL PEDREGAL,R3,277,COLONIA SAN JOSE DEL PEDREGAL,2205,DU04,SECTOR 22,,
COL SANTA EDUVIGES,R4,62,COLONIA SANTA EDUVIGES,1308,DU11,SECTOR 13,,
COL SANTA ISABEL(RECIBE NOMBRE PALMAS),R3,196,COLONIA LAS PALMAS,2004,DU03,SECTOR 20,,
COL SATELITE,R2,270,COLONIA  SATELITE,2223,DU10,SECTOR 22,,
COL SMITH,R4,959,COLONIA SMITH No.1,2511,DU06,SECTOR 25,,
COL SMITH NUM 2,R4,964,COLONIA SMITH No.2,2511,DU06,SECTOR 25,,
COL TEPEYAC,R1,592,COLONIA TEPEYAC,1005,DU02,SECTOR 10,,
COL VENEZUELA,R3,611,COLONIA VENEZUELA,1210,DU11,SECTOR 13,,
COL. AMERICA,R2,419,COLONIA AMERICA,2312,DU04,SECTOR 23,,
COL. MARIA CRISTINA,R4,40,COLONIA MARIA CRISTINA,1203,DU04,SECTOR 12,,
COL. PAYAQUI,R1,595,COLONIA PAYAQUI,1012,DU02,SECTOR 10,,
COLINA DE MAYANGLE,R2,468,COLINAS DEL MAYANGLE,762,DU05,SECTOR 07,,
COLONIA BERLIN,R3,,,,,,,
COLONIA ESTADOS UNIDOS,R4,710,COLONIA ESTADOS UNIDOS,1601,DU08,SECTOR 16,,
COLONIA NUEVA EDEN,R3,723,COLONIA NUEVO EDEN,1640,DU02,SECTOR 16,,
COLONIA SIN IDENTIFOCAR,R3,,,,,,,
COLUMBUS STALDI,R3,941,COLONIA NUEVA PROVIDENCIA,2531,DU11,SECTOR 25,,
COMPLEJO  INDUSTRIAL SAN MIGUEL 1,ZI,851,COMPLEJO INDUSTRIAL SAN MIGUEL,0,DU07,SECTOR 16,,
COMPLEJO HABITACIONAL LA HUMUYA (CONDOMINIO HORIZONTAL),R3,601,COLONIA HUMUYA,1101,DU02,SECTOR 11,,
COMPLEJO INDUSTRIAL SAN MIGUEL 2,ZI,851,COMPLEJO INDUSTRIAL SAN MIGUEL,0,DU07,SECTOR 16,,
COMUNIDAD SOCIAL,R3,244,COLONIA COMUNIDAD SOCIAL,0,DU03,SECTOR 21,,
CONCEPCION,CH,502,BARRIO CONCEPCION,606,DU01,SECTOR 06,,
CONCEPCION II ETAPA,R3,892,RESIDENCIAL CONCEPCION,2821,DU10,SECTOR 28,,
CONDOMINIOS EL MIRADOR,R4,675,CONDOMINIOS  EL MIRADOR,0,DU02,SECTOR 17,,
CONDOMINIOS TONCONTIN,R3,439,RESIDENCIAL CONDOMINIOS TONCONTIN,2339,DU04,SECTOR 23,,
CONDOMINIOS VIERA,R1,18,CONDOMINIOS VIERA,316,DU07,SECTOR 03,,
CONTADOR,R4,,,,,,,
CONTINENTAL,R3,939,COLONIA CONTINENTAL,2520,DU11,SECTOR 25,,
COUNTRY CLUB,R2,,,,,,,
COVESPUL,R4,147,COLONIA  COVESPUL,1817,DU08,SECTOR 18,,
COVIDEPROL / LA ROMA,R3,240,COLONIA ROMA,2118,DU03,SECTOR 21,,
